name,confidence,ptm,plddt,tm1,tm2,rmsd,aligned,pdb
run05_candidate_0346_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4639_mut28,0.8989880681037903,0.8247026205062866,0.9175593852996826,0.8928,0.93438,1.9,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0346_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4639_mut28/run05_candidate_0346_run05_three_loop_inputs_run05_three_loop_t2_0_model_3_lm0.4639_mut28_model_0.cif
run05_candidate_0063_run05_three_loop_inputs_run05_three_loop_t3_5_model_0_lm0.4949_mut22,0.8765878081321716,0.7131680846214294,0.9174426794052124,0.89569,0.93713,1.91,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0063_run05_three_loop_inputs_run05_three_loop_t3_5_model_0_lm0.4949_mut22/run05_candidate_0063_run05_three_loop_inputs_run05_three_loop_t3_5_model_0_lm0.4949_mut22_model_0.cif
run05_candidate_0241_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4745_mut24,0.869968831539154,0.6832345724105835,0.9166523814201355,0.89221,0.93373,2.09,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0241_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4745_mut24/run05_candidate_0241_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4745_mut24_model_0.cif
run05_candidate_0365_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4627_mut23,0.8322197794914246,0.49984732270240784,0.9153128266334534,0.89904,0.94077,1.85,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0365_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4627_mut23/run05_candidate_0365_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4627_mut23_model_0.cif
run05_candidate_0834_run05_three_loop_inputs_run05_three_loop_t3_5_model_1_lm0.4332_mut26,0.8621389269828796,0.6699703335762024,0.9101810455322266,0.90309,0.94538,1.42,225.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0834_run05_three_loop_inputs_run05_three_loop_t3_5_model_1_lm0.4332_mut26/run05_candidate_0834_run05_three_loop_inputs_run05_three_loop_t3_5_model_1_lm0.4332_mut26_model_0.cif
run05_candidate_0229_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4757_mut22,0.8737176060676575,0.7389701008796692,0.9074044227600098,0.89859,0.94054,1.92,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0229_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4757_mut22/run05_candidate_0229_run05_three_loop_inputs_run05_three_loop_t1_9_model_3_lm0.4757_mut22_model_0.cif
run05_candidate_0272_run05_three_loop_inputs_run05_three_loop_t1_6_model_2_lm0.4690_mut25,0.9042662978172302,0.8948415517807007,0.9066224694252014,0.89015,0.93153,1.99,226.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0272_run05_three_loop_inputs_run05_three_loop_t1_6_model_2_lm0.4690_mut25/run05_candidate_0272_run05_three_loop_inputs_run05_three_loop_t1_6_model_2_lm0.4690_mut25_model_0.cif
run05_candidate_0260_run05_three_loop_inputs_run05_three_loop_t3_7_model_3_lm0.4706_mut27,0.883773148059845,0.8016965985298157,0.9042922854423523,0.89583,0.93721,1.81,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0260_run05_three_loop_inputs_run05_three_loop_t3_7_model_3_lm0.4706_mut27/run05_candidate_0260_run05_three_loop_inputs_run05_three_loop_t3_7_model_3_lm0.4706_mut27_model_0.cif
run05_candidate_0387_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4613_mut22,0.8644850850105286,0.7072619795799255,0.9037907719612122,0.91265,0.95544,1.6,228.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0387_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4613_mut22/run05_candidate_0387_run05_three_loop_inputs_run05_three_loop_t3_5_model_4_lm0.4613_mut22_model_0.cif
run05_candidate_0196_run05_three_loop_inputs_run05_three_loop_t5_1_model_1_lm0.4789_mut23,0.8887656331062317,0.8298022150993347,0.9035065174102783,0.9128,0.95552,1.34,227.0,run05/output/boltz_results/boltz_results_boltz_yamls/predictions/run05_candidate_0196_run05_three_loop_inputs_run05_three_loop_t5_1_model_1_lm0.4789_mut23/run05_candidate_0196_run05_three_loop_inputs_run05_three_loop_t5_1_model_1_lm0.4789_mut23_model_0.cif
